Question,Answer,Category,Intent
Why is there a fee if it's a scholarship?,"The ₦10,000 fee is an admin fee, not tuition. Tuition is fully sponsored by ICL. The fee covers your seat for the full 3 months, learning materials, and Google Classroom access.",Fees,scholarship_fee
"Is the ₦10,000 tuition?","No. The ₦10,000 payment is an administrative fee. Tuition is fully sponsored by ICL.",Fees,tuition_clarification
"What does the ₦10,000 admin fee cover?","It covers your seat for the full 3 months, learning materials, and Google Classroom access.",Fees,admin_fee_coverage
Does paying the admin fee reserve my seat?,"Yes. Once payment is confirmed, the fee reserves your seat for the cohort.",Fees,seat_confirmation
Why does TechieStart charge an admin fee?,"The fee covers administration, your seat, learning materials, and Google Classroom access while tuition remains fully sponsored.",Fees,reason_for_fee
Is TechieStart legitimate?,"Yes. TechieStart is a program of IKECHIM Consults Limited (ICL), a CAC and FIRS-registered company. Its registration can be publicly verified.",Trust & Legitimacy,legitimacy
Who runs TechieStart?,TechieStart is a program of IKECHIM Consults Limited (ICL).,Trust & Legitimacy,program_operator
Is ICL registered?,"Yes. ICL is a CAC and FIRS-registered company, and its registration can be publicly verified.",Trust & Legitimacy,company_registration
Can I verify ICL's registration?,Yes. ICL's CAC and FIRS registration can be verified publicly.,Trust & Legitimacy,registration_verification
Are TechieStart instructors qualified?,"TechieStart instructors are working professionals, including two instructors who are CPN certified.",Instructors,instructor_qualifications
Are the instructors working professionals?,Yes. TechieStart is taught by working professionals with practical industry experience.,Instructors,working_professionals
Are any instructors CPN certified?,Yes. Two of the instructors are CPN certified.,Instructors,cpn_certification
What if I have a question about my payment?,Contact the TechieStart support line provided on the program page. A person will assist you.,Support,payment_support
Is there human support?,"Yes. If anything about your application or payment is unclear, you can contact the support line on the program page and speak with a person.",Support,human_support
What happens after I pay?,"Once payment is confirmed, you will receive an automated email with the Google Classroom join link for your selected track.",Enrollment,post_payment
How will I receive my Google Classroom link?,Your Google Classroom join link will be sent by automated email after payment is confirmed.,Enrollment,classroom_link
When will I receive the Classroom link?,"The link is usually sent within the stated processing window after payment confirmation. If it has not arrived after that window, contact support.",Enrollment,email_timing
What if I don't receive my Classroom link?,"If the email has not arrived within the stated processing window, contact the TechieStart support line.",Support,missing_classroom_link
Do I need a Google account?,Yes. You need a Google account to accept the Google Classroom invitation.,Requirements,google_account
Do I need a Gmail address?,Yes. Use a Gmail address when registering so you can access Google Classroom.,Requirements,gmail_requirement
